term,level,parent,term_family,full_path
Radar countermeasures,3,Radar applications,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Radar applications > Radar countermeasures
Radar detection,3,Radar applications,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Radar applications > Radar detection
Radar imaging,3,Radar applications,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Radar applications > Radar imaging
Radar measurements,3,Radar applications,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Radar applications > Radar measurements
Radar polarimetry,3,Radar applications,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Radar applications > Radar polarimetry
Radar remote sensing,3,Radar applications,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Radar applications > Radar remote sensing
Radar tracking,3,Radar applications,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Radar applications > Radar tracking
Radar clutter,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Radar clutter
Radar cross-sections,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Radar cross-sections
Radar equipment,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Radar equipment
Radar theory,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Radar theory
Spaceborne radar,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Spaceborne radar
Spread spectrum radar,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Spread spectrum radar
Synthetic aperture radar,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Synthetic aperture radar
Inverse synthetic aperture radar,3,Synthetic aperture radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Synthetic aperture radar > Inverse synthetic aperture radar
Polarimetric synthetic aperture radar,3,Synthetic aperture radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Synthetic aperture radar > Polarimetric synthetic aperture radar
Ultra wideband radar,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Ultra wideband radar
Sensor systems,1,Aerospace and electronic systems,Aerospace and electronic systems,Aerospace and electronic systems > Sensor systems
Activity recognition,2,Sensor systems,Aerospace and electronic systems,Aerospace and electronic systems > Sensor systems > Activity recognition
Gunshot detection systems,2,Sensor systems,Aerospace and electronic systems,Aerospace and electronic systems > Sensor systems > Gunshot detection systems
Sonar,1,Aerospace and electronic systems,Aerospace and electronic systems,Aerospace and electronic systems > Sonar
Sonar applications,2,Sonar,Aerospace and electronic systems,Aerospace and electronic systems > Sonar > Sonar applications
Sonar detection,3,Sonar applications,Aerospace and electronic systems,Aerospace and electronic systems > Sonar > Sonar applications > Sonar detection
Sonar measurements,3,Sonar applications,Aerospace and electronic systems,Aerospace and electronic systems > Sonar > Sonar applications > Sonar measurements
Sonar equipment,2,Sonar,Aerospace and electronic systems,Aerospace and electronic systems > Sonar > Sonar equipment
Synthetic aperture sonar,2,Sonar,Aerospace and electronic systems,Aerospace and electronic systems > Sonar > Synthetic aperture sonar
Telemetry,1,Aerospace and electronic systems,Aerospace and electronic systems,Aerospace and electronic systems > Telemetry
Biomedical telemetry,2,Telemetry,Aerospace and electronic systems,Aerospace and electronic systems > Telemetry > Biomedical telemetry
Antennas and propagation,0,,Antennas and propagation,Antennas and propagation
Antennas,1,Antennas and propagation,Antennas and propagation,Antennas and propagation > Antennas
Antenna accessories,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Antenna accessories
Radomes,3,Antenna accessories,Antennas and propagation,Antennas and propagation > Antennas > Antenna accessories > Radomes
Antenna arrays,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Antenna arrays
Adaptive arrays,3,Antenna arrays,Antennas and propagation,Antennas and propagation > Antennas > Antenna arrays > Adaptive arrays
Butler matrices,3,Antenna arrays,Antennas and propagation,Antennas and propagation > Antennas > Antenna arrays > Butler matrices
Linear antenna arrays,3,Antenna arrays,Antennas and propagation,Antennas and propagation > Antennas > Antenna arrays > Linear antenna arrays
Log periodic antennas,3,Antenna arrays,Antennas and propagation,Antennas and propagation > Antennas > Antenna arrays > Log periodic antennas
Microstrip antenna arrays,3,Antenna arrays,Antennas and propagation,Antennas and propagation > Antennas > Antenna arrays > Microstrip antenna arrays
Microwave antenna arrays,3,Antenna arrays,Antennas and propagation,Antennas and propagation > Antennas > Antenna arrays > Microwave antenna arrays
Phased arrays,3,Antenna arrays,Antennas and propagation,Antennas and propagation > Antennas > Antenna arrays > Phased arrays
Planar arrays,3,Antenna arrays,Antennas and propagation,Antennas and propagation > Antennas > Antenna arrays > Planar arrays
Antenna radiation patterns,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Antenna radiation patterns
Near-field radiation pattern,3,Antenna radiation patterns,Antennas and propagation,Antennas and propagation > Antennas > Antenna radiation patterns > Near-field radiation pattern
Antenna theory,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Antenna theory
Frequency selective surfaces,3,Antenna theory,Antennas and propagation,Antennas and propagation > Antennas > Antenna theory > Frequency selective surfaces
Apertures,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Apertures
Aperture antennas,3,Apertures,Antennas and propagation,Antennas and propagation > Antennas > Apertures > Aperture antennas
Aperture coupled antennas,3,Apertures,Antennas and propagation,Antennas and propagation > Antennas > Apertures > Aperture coupled antennas
Broadband antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Broadband antennas
Ultra wideband antennas,3,Broadband antennas,Antennas and propagation,Antennas and propagation > Antennas > Broadband antennas > Ultra wideband antennas
Vivaldi antennas,3,Broadband antennas,Antennas and propagation,Antennas and propagation > Antennas > Broadband antennas > Vivaldi antennas
Dielectric resonator antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Dielectric resonator antennas
Dipole antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Dipole antennas
Directional antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Directional antennas
Directive antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Directive antennas
Feeds,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Feeds
Antenna feeds,3,Feeds,Antennas and propagation,Antennas and propagation > Antennas > Feeds > Antenna feeds
Fractal antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Fractal antennas
Helical antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Helical antennas
Horn antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Horn antennas
Leaky wave antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Leaky wave antennas
Loaded antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Loaded antennas
Log-periodic dipole antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Log-periodic dipole antennas
Microstrip antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Microstrip antennas
Microwave antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Microwave antennas
Mobile antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Mobile antennas
Multifrequency antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Multifrequency antennas
Omnidirectional antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Omnidirectional antennas
Patch antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Patch antennas
Radar antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Radar antennas
Receiving antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Receiving antennas
Rectennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Rectennas
Reflector antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Reflector antennas
Satellite antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Satellite antennas
Slot antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Slot antennas
Steerable antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Steerable antennas
Transmission line antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Transmission line antennas
Transmitting antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Transmitting antennas
UHF antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > UHF antennas
Yagi-Uda antennas,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Yagi-Uda antennas
Electromagnetic propagation,1,Antennas and propagation,Antennas and propagation,Antennas and propagation > Electromagnetic propagation
Electromagnetic diffraction,2,Electromagnetic propagation,Antennas and propagation,Antennas and propagation > Electromagnetic propagation > Electromagnetic diffraction
Optical diffraction,3,Electromagnetic diffraction,Antennas and propagation,Antennas and propagation > Electromagnetic propagation > Electromagnetic diffraction > Optical diffraction
Physical theory of diffraction,3,Electromagnetic diffraction,Antennas and propagation,Antennas and propagation > Electromagnetic propagation > Electromagnetic diffraction > Physical theory of diffraction
X-ray diffraction,3,Electromagnetic diffraction,Antennas and propagation,Antennas and propagation > Electromagnetic propagation > Electromagnetic diffraction > X-ray diffraction
Electromagnetic propagation in absorbing media,2,Electromagnetic propagation,Antennas and propagation,Antennas and propagation > Electromagnetic propagation > Electromagnetic propagation in absorbing media
Electromagnetic reflection,2,Electromagnetic propagation,Antennas and propagation,Antennas and propagation > Electromagnetic propagation > Electromagnetic reflection
Optical reflection,3,Electromagnetic reflection,Antennas and propagation,Antennas and propagation > Electromagnetic propagation > Electromagnetic reflection > Optical reflection
Microwave propagation,2,Electromagnetic propagation,Antennas and propagation,Antennas and propagation > Electromagnetic propagation > Microwave propagation
Millimeter wave propagation,2,Electromagnetic propagation,Antennas and propagation,Antennas and propagation > Electromagnetic propagation > Millimeter wave propagation
Optical propagation,2,Electromagnetic propagation,Antennas and propagation,Antennas and propagation > Electromagnetic propagation > Optical propagation
Optical surface waves,3,Optical propagation,Antennas and propagation,Antennas and propagation > Electromagnetic propagation > Optical propagation > Optical surface waves
Optical waveguides,3,Optical propagation,Antennas and propagation,Antennas and propagation > Electromagnetic propagation > Optical propagation > Optical waveguides
Propagation constant,2,Electromagnetic propagation,Antennas and propagation,Antennas and propagation > Electromagnetic propagation > Propagation constant
Propagation losses,2,Electromagnetic propagation,Antennas and propagation,Antennas and propagation > Electromagnetic propagation > Propagation losses
Radio propagation,2,Electromagnetic propagation,Antennas and propagation,Antennas and propagation > Electromagnetic propagation > Radio propagation
Radiowave propagation,2,Electromagnetic propagation,Antennas and propagation,Antennas and propagation > Electromagnetic propagation > Radiowave propagation
NVIS,3,Radiowave propagation,Antennas and propagation,Antennas and propagation > Electromagnetic propagation > Radiowave propagation > NVIS
Submillimeter wave propagation,2,Electromagnetic propagation,Antennas and propagation,Antennas and propagation > Electromagnetic propagation > Submillimeter wave propagation
UHF propagation,2,Electromagnetic propagation,Antennas and propagation,Antennas and propagation > Electromagnetic propagation > UHF propagation
Radio astronomy,1,Antennas and propagation,Antennas and propagation,Antennas and propagation > Radio astronomy
Broadcast technology,0,,Broadcast technology,Broadcast technology
Broadcasting,1,Broadcast technology,Broadcast technology,Broadcast technology > Broadcasting
Digital audio broadcasting,2,Broadcasting,Broadcast technology,Broadcast technology > Broadcasting > Digital audio broadcasting
Digital audio players,3,Digital audio broadcasting,Broadcast technology,Broadcast technology > Broadcasting > Digital audio broadcasting > Digital audio players
Digital Radio Mondiale,3,Digital audio broadcasting,Broadcast technology,Broadcast technology > Broadcasting > Digital audio broadcasting > Digital Radio Mondiale
Digital multimedia broadcasting,2,Broadcasting,Broadcast technology,Broadcast technology > Broadcasting > Digital multimedia broadcasting
Digital video broadcasting,2,Broadcasting,Broadcast technology,Broadcast technology > Broadcasting > Digital video broadcasting
Motion pictures,2,Broadcasting,Broadcast technology,Broadcast technology > Broadcasting > Motion pictures
NVIS,2,Broadcasting,Broadcast technology,Broadcast technology > Broadcasting > NVIS
Radio broadcasting,2,Broadcasting,Broadcast technology,Broadcast technology > Broadcasting > Radio broadcasting
Frequency modulation,3,Radio broadcasting,Broadcast technology,Broadcast technology > Broadcasting > Radio broadcasting > Frequency modulation
Radio networks,3,Radio broadcasting,Broadcast technology,Broadcast technology > Broadcasting > Radio broadcasting > Radio networks
Satellite broadcasting,2,Broadcasting,Broadcast technology,Broadcast technology > Broadcasting > Satellite broadcasting
Web TV,2,Broadcasting,Broadcast technology,Broadcast technology > Broadcasting > Web TV
Circuits and systems,0,,Circuits and systems,Circuits and systems
Circuits,1,Circuits and systems,Circuits and systems,Circuits and systems > Circuits
Active circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Active circuits
Active inductors,3,Active circuits,Circuits and systems,Circuits and systems > Circuits > Active circuits > Active inductors
Gyrators,3,Active circuits,Circuits and systems,Circuits and systems > Circuits > Active circuits > Gyrators
Operational amplifiers,3,Active circuits,Circuits and systems,Circuits and systems > Circuits > Active circuits > Operational amplifiers
Adders,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Adders
Analog circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Analog circuits
Analog integrated circuits,3,Analog circuits,Circuits and systems,Circuits and systems > Circuits > Analog circuits > Analog integrated circuits
Analog processing circuits,3,Analog circuits,Circuits and systems,Circuits and systems > Circuits > Analog circuits > Analog processing circuits
Application specific integrated circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Application specific integrated circuits
System-on-chip,3,Application specific integrated circuits,Circuits and systems,Circuits and systems > Circuits > Application specific integrated circuits > System-on-chip
Asynchronous circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Asynchronous circuits
Bipolar transistor circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Bipolar transistor circuits
BiCMOS integrated circuits,3,Bipolar transistor circuits,Circuits and systems,Circuits and systems > Circuits > Bipolar transistor circuits > BiCMOS integrated circuits
Bipolar integrated circuits,3,Bipolar transistor circuits,Circuits and systems,Circuits and systems > Circuits > Bipolar transistor circuits > Bipolar integrated circuits
Bistable circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Bistable circuits
Latches,3,Bistable circuits,Circuits and systems,Circuits and systems > Circuits > Bistable circuits > Latches
Bridge circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Bridge circuits
Charge pumps,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Charge pumps
Circuit analysis,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Circuit analysis
Circuit analysis computing,3,Circuit analysis,Circuits and systems,Circuits and systems > Circuits > Circuit analysis > Circuit analysis computing
Coupled mode analysis,3,Circuit analysis,Circuits and systems,Circuits and systems > Circuits > Circuit analysis > Coupled mode analysis
Nonlinear network analysis,3,Circuit analysis,Circuits and systems,Circuits and systems > Circuits > Circuit analysis > Nonlinear network analysis
Circuit faults,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Circuit faults
Electrical fault detection,3,Circuit faults,Circuits and systems,Circuits and systems > Circuits > Circuit faults > Electrical fault detection
Circuit noise,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Circuit noise
Thermal noise,3,Circuit noise,Circuits and systems,Circuits and systems > Circuits > Circuit noise > Thermal noise
Circuit simulation,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Circuit simulation
Circuit synthesis,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Circuit synthesis
High level synthesis,3,Circuit synthesis,Circuits and systems,Circuits and systems > Circuits > Circuit synthesis > High level synthesis
Integrated circuit synthesis,3,Circuit synthesis,Circuits and systems,Circuits and systems > Circuits > Circuit synthesis > Integrated circuit synthesis
Coprocessors,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Coprocessors
Counting circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Counting circuits
Coupling circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Coupling circuits
Digital circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Digital circuits
Circuit topology,3,Digital circuits,Circuits and systems,Circuits and systems > Circuits > Digital circuits > Circuit topology
Digital integrated circuits,3,Digital circuits,Circuits and systems,Circuits and systems > Circuits > Digital circuits > Digital integrated circuits
Digital signal processors,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Digital signal processors
Distributed parameter circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Distributed parameter circuits
Driver circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Driver circuits
Electronic circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Electronic circuits
Breadboard,3,Electronic circuits,Circuits and systems,Circuits and systems > Circuits > Electronic circuits > Breadboard
Central Processing Unit,3,Electronic circuits,Circuits and systems,Circuits and systems > Circuits > Electronic circuits > Central Processing Unit
Multivibrators,3,Electronic circuits,Circuits and systems,Circuits and systems > Circuits > Electronic circuits > Multivibrators
Stripboard circuit,3,Electronic circuits,Circuits and systems,Circuits and systems > Circuits > Electronic circuits > Stripboard circuit
Equivalent circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Equivalent circuits
Feedback,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Feedback
Feedback circuits,3,Feedback,Circuits and systems,Circuits and systems > Circuits > Feedback > Feedback circuits
Negative feedback,3,Feedback,Circuits and systems,Circuits and systems > Circuits > Feedback > Negative feedback
Neurofeedback,3,Feedback,Circuits and systems,Circuits and systems > Circuits > Feedback > Neurofeedback
Hybrid integrated circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Hybrid integrated circuits
Integrated circuits,2,Circuits,Circuits and systems,Circuits and systems > Circuits > Integrated circuits
Analog integrated circuits,3,Integrated circuits,Circuits and systems,Circuits and systems > Circuits > Integrated circuits > Analog integrated circuits
Analog-digital integrated circuits,3,Integrated circuits,Circuits and systems,Circuits and systems > Circuits > Integrated circuits > Analog-digital integrated circuits
Application specific integrated circuits,3,Integrated circuits,Circuits and systems,Circuits and systems > Circuits > Integrated circuits > Application specific integrated circuits
